,title,date,pipe_diameter,address,full_text
73,Emergency Water Main Repair - Clinton,"December 23, 2024",8,"8414 Woodyard Road, Clinton","Laurel, MD – December 23, 2024: WSSC Water is repairing an 8-inch water main at 8414 Woodyard Road, Clinton. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
74,Emergency Water Main Repair - Lanham,"December 18, 2024",16,6710 Good Luck Road in Lanham,"Laurel, MD – December 18, 2024: WSSC Water is repairing a 16-inch water main at 6710 Good Luck Road in Lanham. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
75,Emergency Water Main Repair - Silver Spring,"December 18, 2024",6,1043 Ruatan Street in Silver Spring,"Laurel, MD – December 18, 2024: WSSC Water is repairing a 6-inch water main at 1043 Ruatan Street in Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
76,Emergency Water Main Repair - Greenbelt,"December 17, 2024",,,
77,Emergency Water Main Repair - Hyattsville,"December 13, 2024",8,3017 Brightseat Road in Hyattsville,"Laurel, MD – December 13, 2024: WSSC Water is repairing an 8-inch water main at 3017 Brightseat Road in Hyattsville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
78,Emergency Water Main Repair - Bethesda,"December 10, 2024",6,7101 Clarendon Road in Bethesda,"Laurel, MD – December 10, 2024: WSSC Water is repairing a 6-inch water main at 7101 Clarendon Road in Bethesda. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
79,Emergency Water Main Repair - Rockville,"December 10, 2024",12,5401 Randolph Rd. in Rockville,"Laurel, MD – December 10, 2024: WSSC Water is repairing a 12-inch water main at 5401 Randolph Rd. in Rockville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
80,Emergency Water Main Repair - Gaithersburg,"December 5, 2024",,,
81,Emergency Water Main Repair - Takoma Park,"December 4, 2024",12,"641 Houston Avenue, Takoma Park","Laurel, MD – December 4, 2024: WSSC Water is repairing a 12-inch water main at 641 Houston Avenue, Takoma Park. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up for impacted customers at 666 Houston Avenue - Winslow House Apartments.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
82,Emergency Water Main Repair - Greenbelt,"November 27, 2024",,,"Laurel, MD – November 27, 2024: WSSC Water is repairing a water main at 9100 Springhill Lane, Greenbelt. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
83,Emergency Water Main Repair - Montgomery Village,"November 26, 2024",,,"Laurel, MD – November 26, 2024: WSSC Water is repairing a water main at 18611 Walkers Choice Road, Montgomery Village, impacting Normandie on the Lake I & II Condominiums. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
84,Emergency Water Main Repair - Rockville,"November 15, 2024",24,"11614 Rockville Pike, Rockville, impacting customers who reside in Forum Condominiums","Laurel, MD – November 15, 2024 WSSC Water is repairing a 24-inch water main at 11614 Rockville Pike, Rockville, impacting customers who reside in Forum Condominiums. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
85,Emergency Water Main Repair - Laurel,"November 2, 2024",10,"111752 S. Laurel Dr, Laurel","Laurel, MD – November 2, 2024 WSSC Water is repairing a 10-inch water main at 111752 S. Laurel Dr, Laurel. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
86,Emergency Water Main Repair - South – 12903 Midstock Ln,"October 29, 2024",,,"Laurel, MD – October 29, 2024 WSSC Water is repairing a 10-inch water main at South – 12903 Midstock Ln. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
87,Emergency Water Main Repair - Upper Marlboro,"October 9, 2024",12,"17020 Village Drive West, Upper Marlboro","Laurel, MD – October 9, 2024 WSSC Water is repairing a 12-inch water main at 17020 Village Drive West, Upper Marlboro. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
88,Emergency Water Main Repair - Capitol Heights,"August 1, 2024",10,"6314 Foote St, Capitol Heights","Laurel, MD – August 27, 2024: WSSC Water is repairing a 10-inch water main at 6314 Foote St, Capitol Heights. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been established at Shining Star Baptist Church located at 5737 Martin Luther King Jr. Highway and will be in place until 8 PM for impaced customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
89,Emergency Water Main Repair - Laurel,"August 1, 2024",,,
90,Emergency Water Main Repair - Chevy Chase,"July 17, 2024",16,"3200 Farmington Dr., Chevy Chase","Laurel, MD – July 17, 2024: WSSC Water is repairing a 16-inch water main at 3200 Farmington Dr., Chevy Chase. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up for affected customers at Ohr Kodesh Congregation Synagogue, 8300 Meadowbrook Lane.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
91,Emergency Water Main Repair - Clinton,"July 9, 2024",16,"7510-20 Old Alex Ferry Road, Clinton","Laurel, MD – July 9, 2024: WSSC Water is repairing a 16-inch water main at 7510-20 Old Alex Ferry Road, Clinton. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
92,Emergency Water Main Repair - Upper Marlboro,"July 7, 2024",12,"17017 Village Drive West, Upper Marlboro","Laurel, MD – July7, 2024: WSSC Water is repairing a 12-inch water main at 17017 Village Drive West, Upper Marlboro. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
93,Emergency Water Main Repair - Takoma Park,"June 27, 2024",12,"7611 Maple Avenue, Takoma Park","Laurel, MD – June 27, 2024: WSSC Water is repairing a 12-inch water main at 7611 Maple Avenue, Takoma Park. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station will be available for affected customers at Piney Branch Elementary School, 7510 Maple Avenue.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
94,Emergency Water Main Repair - District Heights,"June 25, 2024",16,"7303 Marlboro Pike, District Heights","Laurel, MD – June 25, 2024: WSSC Water has a scheduled shutdown, beginning at 8:30 pm this evening, to repair a 16-inch water main at 7303 Marlboro Pike, District Heights. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station will be available for affected customers at 2723 Lorring Drive.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
95,Emergency Water Main Repair - District Heights,"June 24, 2024",16,"7303 Marlboro Pike, District Heights","Laurel, MD – June 24, 2024: WSSC Water is repairing a 16-inch water main at 7303 Marlboro Pike, District Heights. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
96,Emergency Water Main Repair - Capitol Heights,"June 22, 2024",,,"Laurel, MD – June 22, 2024: WSSC Water is repairing a 12-inch water main at 6900 Central Ave (RT 214), Capitol Heights. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is available at 6820 Central Avenue, Capitol Heights for affected customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
97,Emergency Water Main Repair - Hyattsville,"June 21, 2024",,,"Laurel, MD – June 21, 2024: WSSC Water is repairing an 8-inch water main at 2007 Oglethorpe St, Hyattsville.  Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
98,Emergency Water Main Repair  - Takoma Park,"June 18, 2024",,,"Laurel, MD – June 18, 2024: WSSC Water is repairing a 12-inch water main at 7605 Maple Avenue, Takoma Park.  Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is set up at 7605 Maple Avenue, Takoma Park for affected customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
99,Emergency Water Main Repair  - Temple Hills,"June 13, 2024",,,"Laurel, MD – June 13, 2024: WSSC Water is repairing a 16-inch water main at 3399 Orme Drive, Temple Hills.  Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is set up at Greater Deliverance Christian Center, 6001 Southgate Drive, Temple Hills to serve affected customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
100,Emergency Water Main Repair - Glenmont,"March 21, 2024",,,"Laurel, MD – March 21, 2024: WSSC Water is repairing an 8-inch water main at 12100 Livingston St, Glenmont.  Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
101,Emergency Water Main Repair - Glenmont,"March 20, 2024",,,"Laurel, MD – March 20, 2024: WSSC Water is repairing an 8-inch water main at 12100 Livingston St, Glenmont.  Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
102,Emergency Water Main Repair - Rockville,"March 20, 2024",,,"Laurel, MD – March 20, 2024: WSSC Water is repairing a water main at 703 College Parkway, Rockville.  Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
103,Emergency Water Main Repair - Upper Marlboro,"February 3, 2024",,,"Laurel, MD – February 3, 2024: WSSC Water is repairing a 12-inch water main at 17013 Village Drive West, Upper Marlboro. Due to a damaged gas main nearby, there is a heavy gas odor in the area. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is set up at Patuxent Elementary School, 4410 Bishopmill Drive.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
104,Emergency Water Main Repair - Rockville,"January 25, 2024",,,"Laurel, MD – January 25, 2024: WSSC Water is repairing an 8-inch water main at 11800 Nebel St., Rockville. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
105,Emergency Water Main Repair - Silver Spring,"January 23, 2024",,,"Laurel, MD – January 23, 2024: WSSC Water is repairing a 6-inch water main at 2001 Windham Lane, Silver Spring. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
106,Emergency Water Main Repair - Suitland,"January 22, 2024",,,"Laurel, MD – January 22, 2024: WSSC Water is repairing a 14-inch water main at 5111 Silver Hill Road, Suitland. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
107,Emergency Water Main Repair - Forestville,"January 18, 2024",,,"Laurel, MD – January 18, 2024: WSSC Water is repairing a 16-inch water main at 7714 Marlboro Pike, Forestville. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
108,Emergency Water Main Repair - Takoma Park,"December 29, 2025",6,"7903 Greenwood Avenue, Takoma Park","Laurel, MD – December 29, 2025 - WSSC Water is repairing a 6-inch water main at 7903 Greenwood Avenue, Takoma Park. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
109,Emergency Water Main Repair - Hyattsville,"December 27, 2025",8,"5604 Cypress Creek Drive, Hyattsville","Laurel, MD – December 27, 2025 - WSSC Water is repairing an 8-inch water main at 5604 Cypress Creek Drive, Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
110,Emergency Water Main Repair - Gaithersburg,"December 26, 2025",24,"18777 N. Frederick Avenue, Gaithersburg","Laurel, MD – December 26, 2025 - WSSC Water is repairing a 24-inch water main at 18777 N. Frederick Avenue, Gaithersburg. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A water station is set up near 19017 High Point Drive will be open until 5:00 p.m. for impacted customers.
Thank you for your patience."
111,Emergency Water Main Repair - Silver Spring,"December 24, 2025",12,"2806 Woodstock Avenue, Silver Spring","Laurel, MD – December 24, 2025 - WSSC Water is repairing a 12-inch water main at 2806 Woodstock Avenue, Silver Spring. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
112,Emergency Water Main Repair - Fort Washington,"December 23, 2025",12,"410 Bentwood Drive, Fort Washington","Laurel, MD – December 23, 2025 - WSSC Water is repairing a 12-inch water main at 410 Bentwood Drive, Fort Washington. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
113,Emergency Water Main Repair - Temple Hills,"December 23, 2025",8,"4131 28th Avenue, Temple Hills","Laurel, MD – December 23, 2025 - WSSC Water is repairing an 8-inch water main at 4131 28th Avenue, Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
114,Emergency Water Main Repair - West Hyattsville,"December 23, 2025",8,"5708 Timber Creek Terrace, West Hyattsville","Laurel, MD – December 23, 2025 - WSSC Water is repairing an 8-inch water main at 5708 Timber Creek Terrace, West Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
115,Emergency Water Main Repair - Silver Spring,"December 23, 2025",8,"2001 Briggs Road, Silver Spring","Laurel, MD – December 23, 2025 - WSSC Water is repairing an 8-inch water main at 2001 Briggs Road, Silver Spring. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
116,Emergency Water Main Repair - Hyattsville,"December 22, 2025",12,1200-56 Capital View Drive in Hyattsville,"Laurel, MD – December 22, 2025 - WSSC Water is repairing a 12-inch water main at 1200-56 Capital View Drive in Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
117,Emergency Water Main Repair - Hyattsville,"December 18, 2025",8,2125 Guilford Road in Hyattsville,"Laurel, MD – December 18, 2025 - WSSC Water is repairing an 8-inch water main at 2125 Guilford Road in Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
118,Emergency Water Main Repair - Chevy Chase,"December 18, 2025",12,8100 Connecticut Avenue in Chevy Chase,"Laurel, MD – December 18, 2025 - WSSC Water is repairing a 12-inch water main at 8100 Connecticut Avenue in Chevy Chase. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
119,Emergency Water Main Repair - Suitland,"December 17, 2025",8,3008 Sunset Lane in Suitland,"Laurel, MD – December 17, 2025 - WSSC Water is repairing an 8-inch water main at 3008 Sunset Lane in Suitland. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
120,Emergency Water Main Repair - Suitland,"December 17, 2025",8,3008 Sunset Lane in Suitland,"Laurel, MD – December 17, 2025 - WSSC Water is repairing an 8-inch water main at 3008 Sunset Lane in Suitland. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
121,Emergency Water Main Repair - Temple Hills,"December 17, 2025",10,5621 Fisher Rd in Temple Hills,"Laurel, MD – December 17, 2025 - WSSC Water is repairing an 10-inch water main at 5621 Fisher Rd in Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
122,Emergency Water Main Repair - Temple Hills,"December 16, 2025",,,
123,Emergency Water Main Repair - Silver Spring,"December 16, 2025",8,"701 Beacon Road, Silver Spring","Laurel, MD – December 16, 2025 - WSSC Water is repairing an 8-inch water main at 701 Beacon Road, Silver Spring. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A water station for impacted customers is set up at 710 Beacon Road (JoAnn Leleck Elementary School) and will be in place until midnight. 
Thank you for your patience."
124,Emergency Water Main Repair - Clinton,"December 15, 2025",8,"8508 Woodyard Road, Clinton","Laurel, MD – December 15, 2025 - WSSC Water is repairing an 8-inch water main at 8508 Woodyard Road, Clinton. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
125,Emergency Water Main Repair - Fort Washington,"December 12, 2025",16,"8900 Allentown Road, Fort Washington","Laurel, MD – December 12, 2025 - WSSC Water is repairing a 16-inch water main at 8900 Allentown Road, Fort Washington. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
126,Emergency Water Main Repair - Gaithersburg,"December 8, 2025",8,"19927 Spur Hill Drive, Gaithersburg","Laurel, MD – December 8, 2025 - WSSC Water is repairing an 8-inch water main at 19927 Spur Hill Drive, Gaithersburg. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
127,Emergency Water Main Repair - Upper Marlboro,"December 5, 2025",20,"9207 Fairhaven Ave, Upper Marlboro","Laurel, MD – December 5, 2025 - WSSC Water is repairing a 20-inch water main at 9207 Fairhaven Ave, Upper Marlboro. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A water station will be set up at Marlton Neighborhood Park, 9200 Fairhaven Avenue, at 6pm for impacted customers.
Thank you for your patience."
128,Emergency Water Main Repair - Bethesda,"December 3, 2025",6,"4220 Silverwood Lane, Bethesda","Laurel, MD – December 3, 2025 - WSSC Water is repairing a 6-inch water main at 4220 Silverwood Lane, Bethesda. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
129,Emergency Water Main Repair - Capitol Heights,"December 3, 2025",,,"Laurel, MD – December 3, 2025 - WSSC Water is repairing a 10-inch water main at 1999 Brooks Drive, Capitol Heights. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
130,Emergency Water Main Repair - College Park,"December 2, 2025",,,"Laurel, MD – December 2, 2025 - WSSC Water is repairing a 12-inch water main at 9651 Baltimore Avenue, College Park. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
131,Emergency Water Main Repair - Capitol Heights,"December 1, 2025",,,"Laurel, MD – December 1, 2025 - WSSC Water is repairing an 8-inch water main at 6625 Walker Mill Road, Capitol Heights.  Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
132,Emergency Water Main Repair - Laurel,"December 1, 2025",,,"Laurel, MD – December 1, 2025 - WSSC Water is repairing a 12-inch water main at 13200 Larchdale Rd, Laurel.  Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
133,Emergency Water Main Repair - Potomac,"November 30, 2025",,,"Laurel, MD – November 30, 2025 - WSSC Water is repairing a 6-inch water main at 7824 Ivymount Terrace, Potomac  Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
134,Emergency Water Main Repair - Brandywine,"November 21, 2025",10,"14307 Brandywine Heights Rd, Brandywine","Laurel, MD – November 25, 2025 - WSSC Water is repairing a 10-inch water main at 14307 Brandywine Heights Rd, Brandywine. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
135,Emergency Water Main Repair - Capitol Heights,"November 21, 2025",12,"6506 Central Avenue, Capitol Heights ","Laurel, MD – November 21, 2025 - WSSC Water is repairing a 12-inch water main at 6506 Central Avenue, Capitol Heights . Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
136,Emergency Water Main Repair - Gaithersburg,"November 20, 2025",12,"34 Fenceline Drive, Gaithersburg","Laurel, MD – November 20, 2025 - WSSC Water is repairing a 12-inch water main at 34 Fenceline Drive, Gaithersburg. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A water station will be set up for impacted customers in the parking lot near 209 Kentlands Blvd, Gaithersburg, MD 20878, near the At Home store at 6:30 PM.
Thank you for your patience."
137,Emergency Water Main Repair - Germantown,"November 15, 2025",6,"13500 Demetrias Way, Germantown","Laurel, MD – November 15, 2025 - WSSC Water is repairing a 6-inch water main at 13500 Demetrias Way, Germantown. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
138,Emergency Water Main Repair - District Heights,"November 14, 2025",10,7107 District Heights Parkway in District Heights,"Laurel, MD – November 14, 2025 - WSSC Water is repairing a 10-inch water main at 7107 District Heights Parkway in District Heights. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
139,Emergency Water Main Repair - Hyattsville,"October 28, 2025",10,"7200 Martin L King Hwy, Hyattsville","Laurel, MD – October 28, 2025 - WSSC Water is repairing a 10-inch water main at 7200 Martin L King Hwy, Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A water station is set up at 7600 Barlowe Rd. at the lower parking lot next to the Police Station. 
Thank you for your patience."
140,Emergency Water Main Repair - Bethesda,"October 27, 2025",10,5450 Whitley Park Ter. in Bethesda,"Laurel, MD – October 27, 2025 - WSSC Water is repairing an 10-inch water main at 5450 Whitley Park Ter. in Bethesda. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
141,Emergency Water Main Repair - Temple Hills,"October 22, 2025",8,"3220 Dallas Drive, Temple Hills","Laurel, MD –October 22, 2025 - WSSC Water is repairing an 8-inch water main at 3220 Dallas Drive, Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
142,Emergency Water Main Repair - Gaithersburg,"October 19, 2025",10,"24320 Woodfield Road, Gaithersburg","Laurel, MD –October 19, 2025 - WSSC Water is repairing a 10-inch water main at 24320 Woodfield Road, Gaithersburg. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
143,Emergency Water Main Repair - Temple HIlls,"September 20, 2025",10,"2603 Southern Ave., Temple Hills","Laurel, MD – September 20, 2025 - WSSC Water is repairing a 10-inch water main at 2603 Southern Ave., Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A temporary water station has been set up at 2601 Southern Ave. for impacted customers.
Thank you for your patience."
144,Emergency Water Main Repair - Riverdale,"October 2, 2025",12,"5702 Carters Lane, Riverdale","Laurel, MD – October 2, 2025 - WSSC Water is repairing a 12-inch water main at 5702 Carters Lane, Riverdale. Customers in the area will lose water service while the leak is being fixed. Repairs will be made as quickly as possible.
There will be a water station set-up at 5:30 pm for impacted customers at Fletcher’s Field Apartments, 5227 Kenilworth Ave, Hyattsville.
Thank you for your patience."
145,Emergency Water Main Repair - Temple HIlls,"September 20, 2025",10,"2603 Southern Ave., Temple Hills","Laurel, MD – September 20, 2025 - WSSC Water is repairing a 10-inch water main at 2603 Southern Ave., Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A temporary water station has been set up at 2601 Southern Ave. for impacted customers.
Thank you for your patience."
146,Emergency Water Main Repair - Temple HIlls,"September 20, 2025",10,"2603 Southern Ave., Temple Hills","Laurel, MD – September 20, 2025 - WSSC Water is repairing a 10-inch water main at 2603 Southern Ave., Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
147,Emergency Water Main Repair - Temple Hills,"September 10, 2025",10,"5601 Temple Hills Rd, Temple Hills","Laurel, MD – September 10, 2025 - WSSC Water is repairing a 10-inch water main at 5601 Temple Hills Rd, Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
148,Emergency Water Main Repair - Upper Marlboro,"September 10, 2025",12,"4301 Bishopmill Dr., Upper Marlboro","Laurel, MD – September 19 2025 - WSSC Water is repairing a 12-inch water main at 4301 Bishopmill Dr., Upper Marlboro. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
149,Emergency Water Main Repair - Temple Hills,"September 10, 2025",10,"5601 Temple Hills Rd, Temple Hills","Laurel, MD – September 10, 2025 - WSSC Water is repairing a 10-inch water main at 5601 Temple Hills Rd, Temple Hills. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
150,Emergency Water Main Repair - Laurel,"August 30, 2025",8,"13817 Briarwood Drive, Laurel","Laurel, MD – August 30, 2025 - WSSC Water is repairing an 8-inch water main at 13817 Briarwood Drive, Laurel. Customers in the Fox Rest Apartment Complexes will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Traffic note: Briarwood Drive is closed between Bramble Lane and Hawthorn Lane.
Thank you for your patience."
151,Emergency Water Main Repair - Bowie,"August 22, 2025",,,"Laurel, MD – August 22, 2025 - WSSC Water is repairing a fire hydrant valve at 1209 Kingsbury Drive, Bowie. Customers in the area will lose water service while the valve is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
152,Emergency Water Main Repair - Lanham,"August 7, 2025",12,"6811 Lamont Ddrive, Lanham","Laurel, MD – August 7, 2025 - WSSC Water is repairing a 12-inch water main at 6811 Lamont Ddrive, Lanham. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
153,Emergency Water Main Repair - Forestville,"August 7, 2025",20,"2136 Roslyn Avenue, Forestville","Laurel, MD – August 7, 2025 - WSSC Water is repairing a 20-inch water main at 2136 Roslyn Avenue, Forestville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
154,Emergency Water Main Repair - Laurel,"August 6, 2025",10,"10200 Balsamwood Drive, Laurel","Laurel, MD – August 6, 2025 - WSSC Water is repairing a 10-inch water main at 10200 Balsamwood Drive, Laurel. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
155,Emergency Water Main Repair - Laurel,"August 5, 2025",10,"10200 Balsamwood Drive, Laurel","Laurel, MD – August 5, 2025 - WSSC Water is repairing a 10-inch water main at 10200 Balsamwood Drive, Laurel. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
156,Emergency Water Main Repair - Silver Spring,"August 3, 2025",8,"11501 Elkin Street, Silver Spring","Laurel, MD – August 3, 2025 - WSSC Water is repairing an 8-inch water main at 11501 Elkin Street, Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
157,Emergency Water Main Repair - Oxon Hill,"July 30, 2025",8,"4901 Devitt Place, Oxon Hill","Laurel, MD – July 30, 2025 - WSSC Water is repairing an 8-inch water main at 4901 Devitt Place, Oxon Hill. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
